profession,city,business_name,rating,total_ratings,address,phone_number,website
Electricians,Boston,JM Electrical Solutions,4.9,67,ectrician · 749 Dorchester Ave,+1 978-746-1993,http://jmelectricsolutions.com/
Electricians,Boston,James Holske Electrician,4.6,21,ectrician · 40 Delle Ave,+1 617-756-9527,
Electricians,Boston,EHC Inc Electrical Heating Cooling,4.8,259,ectrician · 398 Columbus Ave #47,+1 774-353-2828,http://www.callehc.com/
Electricians,Boston,Sylvia Electrical Contracting,4.9,9,ectrician · 6 Liberty Sq #2185,+1 978-535-6661,http://www.sylviaelectrical.com/
Electricians,Boston,Sparky’s Electric Boston,4.5,16,ectrician · 50 W Malden St,+1 857-675-2716,
Electricians,Boston,E/R Electric,5.0,94,ectrician · 132 1/2 5th St,+1 617-201-1622,https://www.erelectric.biz/
Electricians,Boston,Ledbetter electric,5.0,116,ectrician · 426 Belgrade Ave,+1 617-325-1440,
Electricians,Boston,Boston Elite Electric Contractors,5.0,15,ectrician · 135 Clarendon St,+1 857-675-2718,
Electricians,Boston,Greater Boston Electrical Inc.,4.9,14,ectrician · 156 Porter St #116,+1 978-423-5196,
Electricians,Boston,Wire Up Electrics Boston,4.8,17,ectrician · 66 Westland Ave # 205,+1 857-675-2719,
Electricians,Boston,Homelight Boston,5.0,24,ectrician · 151 I St,+1 617-224-2646,http://www.homelightboston.com/
Electricians,Boston,JT Electrical Services,4.3,6,ectrician · 1 Centre St Terrace #1,+1 617-214-3597,https://www.jtelectricboston.com/
Electricians,Boston,PRT Electrician of Boston,5.0,11,ntractor,+1 617-655-8133,
Electricians,Boston,John P McHugh Electric,5.0,10,ectrician · 456 Main St,+1 617-320-7703,http://johnpmchughelectric.com/
Electricians,Boston,Castle Electric Inc.,4.9,387,"ectrician · 106 Access Rd 201,Suite 201",+1 781-488-6374,https://www.castleelectric.biz/?utm_source=google&utm_medium=gbp
Electricians,Boston,JT Electrical Services,5.0,2,ectrician,+1 617-590-2479,http://jtelectricboston.com/
