address,business_name,profession,phone_number,city,website,rating,total_ratings
"ectrician · House 1559, St 35/3 Bahria Ave",The Friendly Handyman Co.,Electricians,0308 2711102,city,,4.6,18
"ectrician · &, GT road swan camp Bahria, town",Uk brothers electrician,Electricians,0334 5273150,city,,5.0,49
ectrician · Street Number 17,Yours Electrician,Electricians,0312 9870751,city,https://yawarelectrician.blogspot.com/,4.9,429
"ectrical installation service · Bahria town phace 7 gate Near Tehzeb bakre Rawalpindi Islamabad Bahria phace, Street 7",MES'S Electric Service's,Electricians,0302 5712302,city,https://www.facebook.com/profile.php?id=100064174268795,5.0,107
ectrical installation service · G4QV+R5G,Mohsin Shah,Electricians,0336 5000523,city,,5.0,1
ectrical installation service · G4QX+F79,Electric work,Electricians,0336 5000523,city,,4.8,4
"ectrician ·  · bhatti plaza, block c ground floor",Zahid Electrician Company,Electricians,0305 8687183,city,http://www.zahidelectriciancompany.com/,4.5,38
"ectrician · CBR, Main commercial, Phase 1",AH Electrical Repairing Center,Electricians,0303 4717372,city,http://www.youtube.com/c/JamberThinks,4.6,35
"ectrician · Office 12 first floor, Raja Abdul Raziq plaza, near giga Mall",Abid Electric Works,Electricians,0346 5577745,city,,5.0,3
ectrician · Office no. 01 2nd Floor plaza 01 Accantilado Commercial Bahria Town Ph 07,Mr. Electrician(hybriddsol),Electricians,0318 5769016,city,,3.0,1
ectrical installation service · 1 Street 6,Home Electrician,Electricians,0341 4074967,city,,4.9,96
ectrical installation service,UK electrician home services,Electricians,0313 1515622,city,,5.0,7
ectrician · Dhok awan 3 Dhok awan,Madina Electrician Works,Electricians,,city,,,
ectrician ·  · Gulshan e Khurshid Rd,MA Electrical Works,Electricians,0336 5244912,city,http://facebook.com/maelectricalwork,4.9,79
ectrician · 09 Central Ave,Electricity & Sanitary Repairing Center,Electricians,,city,,5.0,5
"ectrician · chowk, Dhoke Chaudhrian Rd",MM.Zafar Electrical and plumbing works,Electricians,0332 0597866,city,,4.9,123
ectrical installation service · H49Q+JFC,ZS Networking and Electrical services,Electricians,,city,,5.0,2
ectrician · J43P+4G4,Bismillah electric,Electricians,0310 8382275,city,,4.3,6
ectrician · Unnamed Road,Building Electrician .Syed Badshah Enterprises,Electricians,0344 0564293,city,,5.0,12
"ectrician · 10th Avenue, F10 Markaz",Saqib Home Electrician & AC Technician,Electricians,0334 3383900,city,,5.0,122
"ectrical installation service · MXFJ+6G2, Unnamed Road",Electroman,Electricians,+92 334 9065151,city,,5.0,1
ectrical installation service · 1 Street 6,Home Electrician,Electricians,+92 341 4074967,city,,4.9,96
"ectrician · Azan brother shop#17 opposit, Street, 149 service road",ABID KHAN Electrician & Plumber,Electricians,+92 300 5063621,city,,4.9,30
"ectrician · 8th Rd, Nazimabad, Pindora",Usman Electronic,Electricians,+92 303 5374192,city,,5.0,1
ectrician · street no. 786 Sector,M.Siraj Electrician and Plumbing Service,Electricians,+92 315 0416652,city,,5.0,53
ectrician · 122,Quick Electric & Engineering works and Plumber work,Electricians,+92 317 5482825,city,,4.6,12
"ectrician · St # 5, H-15",Amir Electrician Plumber,Electricians,+92 312 3621561,city,http://sites.google.com/view/amirelectrician,5.0,12
"ectrician · Office 12 first floor, Raja Abdul Raziq plaza, near giga Mall",Abid Electric Works,Electricians,+92 346 5577745,city,,5.0,3
ectrician · 40 Fulton St,H&A Electrician,Electricians,+1 646-351-0882,New York,https://www.bestnycelectricianmanhattan.com/,4.6,79
ectrician · 50 St Marks Pl,New York City Electricians,Electricians,+1 646-340-9882,New York,https://newyorkcityelectricianss.com/,4.7,41
ectrician · 526 W 26th St Suite 1012,Emco Electric Services LLC,Electricians,+1 212-420-9766,New York,https://www.emcony.com/,4.9,60
ectrician · 450 W 63rd St.,P & T Electricians Midtown,Electricians,+1 646-374-4274,New York,,4.8,80
ectrician,Electrician Techs,Electricians,+1 718-305-4470,New York,http://electriciantechs.com/?utm_campaign=gmb,4.9,346
ectrician · 244 5th Ave T202,YT Electrical Services,Electricians,+1 917-215-8178,New York,https://ytelectrical.com/?utm_source=google&utm_medium=gmb&utm_campaign=direct,4.9,67
ectrician · 127 W 24th St,Apollo Electric,Electricians,+1 212-643-8541,New York,http://apollonyc.com/,4.8,61
ectrician · 162-10 Crocheron Ave,YORK ELECTRICAL CONTRACTORS,Electricians,+1 718-353-7227,New York,https://www.yorkelectrical.com/,5.0,351
ectrician,NYC Queens Electrician,Electricians,+1 347-901-3444,New York,http://www.electricacinc.com/,5.0,27
ectrician,Top Brooklyn Electrician,Electricians,+1 718-925-4854,New York,https://www.bestbrooklynelectrician.com/,4.8,89
ectrician · 657 Hinsdale St,LED Electricians Tech,Electricians,+1 646-836-2735,New York,http://ledelectricians.com/,5.0,117
ectrician · 4601c 1st Ave,Daven Electric Corp.,Electricians,+1 212-390-1106,New York,https://davenelectric.com/,4.8,109
ectrician · 110 N 1st St,Power Electric NY,Electricians,+1 929-422-9063,New York,https://powerelectricnyinc.com/,5.0,38
ectrical installation service · 94 E 4th St,PK & Altman Electric,Electricians,+1 646-630-7164,New York,https://pkelectricnyc.com/?utm_campaign=gmb,4.5,74
ectrician · 41 E 11th St,Conquest Electric,Electricians,,New York,http://conquestelectric.com/,4.9,49
ectrician · 1658 Coney Island Ave,DB Electric,Electricians,+1 718-673-8693,New York,,4.9,86
ectrician · 80 E Hawthorne Ave,No Shorts Electric Inc.,Electricians,+1 516-218-4711,New York,https://noshorts.com/,5.0,559
ectrician · 89-47 215th Pl,Queens Electrician,Electricians,+1 718-395-2861,New York,https://www.queensnyelectrician.com/,4.7,55
ectrician,High Quality Electric of NY LLC,Electricians,+1 718-480-1188,New York,http://www.highqualityelectricny.com/,4.9,97
ectrician · 1234 Broadway,Bright Electrical Service LLC,Electricians,+1 917-498-1475,New York,,4.7,15
ectrician,Leader Electric,Electricians,+1 212-665-0600,New York,http://www.leaderelectric.com/,4.4,26
ectrician · 1658 Coney Island Ave,DB Electric,Electricians,+1 718-673-8693,New York,,4.9,86
ectrician · 310 Nassau Ave Unit 202,Asset Electric Corp,Electricians,+1 929-340-1108,New York,http://www.assetelectric.com/,5.0,33
ectrician · 11 Broadway,"Mcintyre Electrical, LLC.",Electricians,+1 347-383-3557,New York,http://www.mcintyreelectricalllc.com/,5.0,10
ectrician,High Quality Electric of NY LLC,Electricians,+1 718-480-1188,New York,http://www.highqualityelectricny.com/,4.9,97
ectrician · 560 Malcolm X Blvd # 7,Wise Owl Electricians in New York,Electricians,+1 718-866-3124,New York,,4.4,7
ectrician · 80 E Hawthorne Ave,No Shorts Electric Inc.,Electricians,+1 516-218-4711,New York,https://noshorts.com/,5.0,559
ectrician · 489 5th Ave Lobby,Electrician NYC LLC,Electricians,+1 212-547-8867,New York,https://www.electriciannyc.com/,5.0,7
