total_ratings,city,business_name,phone_number,address,profession,website,rating
38,Boston,The Boston Fence Company,+1 617-917-2681,nce contractor,Fence Builders and Repair Services,http://thebostonfencecompany.com/,5.0
23,Boston,Shields Fence,+1 857-353-6244,nce contractor · 376 Weld St,Fence Builders and Repair Services,http://www.shieldsfence.com/,4.7
38,Boston,Kenny G Fence & Railings LLc,+1 617-361-1845,nce contractor · Margin St,Fence Builders and Repair Services,https://kennygfenceandrailings.com/,4.9
9,Boston,Amazing Fence,+1 617-532-0922,nce contractor · 42 Mayhew St,Fence Builders and Repair Services,http://www.amazingfence.com/,5.0
12,Boston,Erickson Fences,+1 617-389-4975,nce contractor,Fence Builders and Repair Services,https://ericksonfences.com/,5.0
6,Boston,Dorchester Garage Door And Gate Repair,+1 351-900-7194,nce contractor · 1776 Dorchester Ave,Fence Builders and Repair Services,,4.8
11,Boston,J.Andrews Fence Company,+1 617-299-6462,nce contractor,Fence Builders and Repair Services,https://jandrewsfencecompany.com/,5.0
2,Boston,Gregs Fence,+1 617-697-5715,nce contractor,Fence Builders and Repair Services,,5.0
24,Boston,V. Peura Fence,+1 978-335-6933,nce contractor,Fence Builders and Repair Services,https://sites.google.com/view/vpeurafence/home,5.0
2,Boston,Fence Contractors Milton MA,+1 617-380-3442,nce contractor,Fence Builders and Repair Services,,5.0
,Boston,Speed Repair's,+1 224-347-9188,nce contractor · 389A W Broadway,Fence Builders and Repair Services,http://boston.speedcarshipping.com/,
12,Boston,JT Fence Boston,+1 781-420-5858,nce contractor,Fence Builders and Repair Services,http://www.jtfenceboston.com/,4.7
47,Boston,Fensu Dream Fence,+1 781-330-0001,nce contractor · 153 Elm St,Fence Builders and Repair Services,http://dreamfence.com/,4.9
3,Boston,"DEDHAM FENCE, INC.",+1 781-329-4034,nce contractor · 143 Providence St,Fence Builders and Repair Services,,5.0
31,Boston,Campbell's Fence Inc.,+1 781-544-5026,nce contractor,Fence Builders and Repair Services,https://www.campbellsfence.com/,4.6
552,Boston,Reliable The Fence People,+1 781-933-9363,nce contractor · 283 Salem St,Fence Builders and Repair Services,https://reliablefencing.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,4.7
