total_ratings,city,business_name,phone_number,address,profession,website,rating
233,Boston,BeaconLight Home Inspection,+1 617-681-4663,me inspector · 265 Franklin St Suite 1702,Home Inspectors,http://beaconlighthomeinspection.com/,5.0
544,Boston,Coastal Boston Property Inspections,+1 617-262-7825,me inspector,Home Inspectors,https://www.coastalbostoninspects.com/,5.0
32,Boston,Coastal home inspections,+1 508-237-4628,me inspector · 156 I St #1,Home Inspectors,https://www.coastal-homeinspections.com/,5.0
24,Boston,Boston Home Inspectors,+1 617-464-1047,me inspector · 1326 Columbia Rd,Home Inspectors,http://www.bhi.us/,3.6
967,Boston,MKC Associates Home Inspection,+1 857-496-6042,me inspector · 16 Keith St,Home Inspectors,https://www.mkchomeinspection.com/,5.0
358,Boston,Metro Boston Property Inspections,+1 781-828-1972,me inspector · 32 Quincy St,Home Inspectors,http://www.metrobostonpropertyinspections.com/,5.0
141,Boston,"JBS Home Inspections, Inc.",+1 617-924-1028,me inspector · 15 Vineyard St,Home Inspectors,http://www.jbsinspections.com/,5.0
130,Boston,"Accent Home Inspection, LLC",+1 617-259-0644,me inspector · 241 Grove St,Home Inspectors,http://www.accenthi.com/,5.0
"4,516",Boston,Tiger Home Inspection,+1 800-628-4437,me inspector · 969 Washington St,Home Inspectors,http://www.tigerhomeinspection.com/,4.9
23,Boston,B-Sure Home Inspection,+1 617-426-7676,me inspector,Home Inspectors,,5.0
115,Boston,HomeTeam of Boston,+1 857-401-8184,me inspector,Home Inspectors,http://www.hometeam.com/boston,5.0
20,Boston,Marte Home Inspections Inc.,+1 617-959-1463,me inspector · 308 Fairmount Ave,Home Inspectors,http://www.martehi.com/,5.0
46,Boston,Mystic Home Inspection,+1 781-475-8980,me inspector,Home Inspectors,https://www.mystichomeinspection.com/,5.0
141,Boston,Pro-Tech Consultants Home Inspections,+1 781-643-6300,me inspector · 37 Linden St,Home Inspectors,https://pro-techconsultants.com/,5.0
191,Boston,The Hawkeye Companies - Hawkeye Home Inspections,+1 978-897-7130,me inspector · 405 Waltham St,Home Inspectors,http://www.hawkeyeinspectors.com/,4.9
472,Boston,Shoveltown Home Inspections LLC,+1 774-218-3288,me inspector · 54 Sheridan St,Home Inspectors,https://www.shoveltowninspections.com/,5.0
