total_ratings,phone_number,profession,rating,address,city,business_name
101,+1 617-610-9477,Home Theater Installation Specialists,5.0,me theater store,Boston,Smart Guys
78,+1 617-606-3668,Home Theater Installation Specialists,4.9,dio visual equipment supplier,Boston,Mr Home Guy
17,+1 617-755-9811,Home Theater Installation Specialists,5.0,dio visual consultant,Boston,Sterling Home Theater
3,+1 617-934-5751,Home Theater Installation Specialists,3.7,me theater store,Boston,TV Wall Mount Service $99.00
69,+1 617-547-2727,Home Theater Installation Specialists,4.8,me theater store ·  · 5 Brookline St,Boston,Q Audio
152,+1 617-818-4135,Home Theater Installation Specialists,4.7,ectrician · 5 Orient Ave,Boston,Petraglia TV Mounting Services
15,+1 617-777-3041,Home Theater Installation Specialists,4.3,me theater store · 683 Sea St,Boston,VIP Installations LLC
14,+1 508-243-3759,Home Theater Installation Specialists,5.0,me theater store · 1215 Summit Dr,Boston,Home Theaters by Sean
2,+1 617-865-2151,Home Theater Installation Specialists,3.0,me cinema installation · 8 Allstate Rd #52,Boston,Audionetic
60,,Home Theater Installation Specialists,5.0,me cinema installation,Boston,Nerd Tech Installs
23,+1 617-283-9932,Home Theater Installation Specialists,4.8,dio visual consultant,Boston,South Shore Audio Video Installation
2,+1 617-379-6738,Home Theater Installation Specialists,5.0,dio visual consultant · 110 K St Suite 330,Boston,ITHomeDesign
18,,Home Theater Installation Specialists,4.6,me theater store ·  · 369 Boylston St,Boston,"Huntington Home Systems, Inc."
6,+1 617-586-3538,Home Theater Installation Specialists,4.3,me cinema installation · 74 Franklin St apt 3,Boston,Boston TV Mounting PROs
26,+1 617-391-8919,Home Theater Installation Specialists,4.6,me theater store ·  · 33 Highland Ave,Boston,"Systems Design & Integration, Inc."
70,+1 401-263-2320,Home Theater Installation Specialists,5.0,me theater store,Boston,Ultimate Home Theater
17,+1 617-787-3131,Home Theater Installation Specialists,4.2,dio visual equipment supplier ·  · 420 Pearl St C,Boston,"Boston Light & Sound, Inc."
146,+1 781-518-3920,Home Theater Installation Specialists,4.9,me improvement store · 7 Chester Ave,Boston,Tech Install
