total_ratings,city,business_name,phone_number,address,profession,website,rating
14,Boston,REIDER + CO,+1 617-942-2460,terior designer · 543 Albany St,Interior Designers,https://reiderandco.com/,5.0
8,Boston,"Lisa Tharp Design - Interior Design Boston, MA",+1 617-341-9900,terior designer · 45 Newbury St,Interior Designers,http://www.lisatharp.com/,4.9
6,Boston,"Elms Interior Design, LLC",+1 617-451-1555,terior designer · 535 Albany St 4th floor,Interior Designers,http://www.elmsid.com/,5.0
7,Boston,LeBlanc Interior Design,+1 857-957-0911,terior designer · 560 Harrison Ave Suite 407,Interior Designers,https://leblancdesign.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,5.0
457,Boston,Boston Design Center,+1 617-449-5514,siness center ·  · 1 Design Center Pl,Interior Designers,http://www.bostondesign.com/,4.5
9,Boston,DANE AUSTIN DESIGN,+1 617-564-0756,terior designer · 292 Newbury St #336,Interior Designers,https://www.daneaustindesign.com/,5.0
4,Boston,Janine Dowling Design Boston,+1 617-445-3135,terior designer · 67 Kemble St #2,Interior Designers,https://www.janinedowling.com/,5.0
6,Boston,Eleven Interiors,+1 617-423-1114,terior designer · 535 Albany St 4th floor,Interior Designers,http://www.eleveninteriors.com/,4.8
106,Boston,Amy Lynn Interior Design Boston,+1 207-406-0252,terior designer · 5 Milk St #2,Interior Designers,http://www.amylynn-interiors.com/,5.0
3,Boston,Carter & Company Interior Design,+1 617-227-5343,terior designer · 36 Newbury St,Interior Designers,http://www.mcarterandco.com/,5.0
3,Boston,"JS Interiors, LLC",+1 339-222-3330,terior designer · 737 E Broadway,Interior Designers,http://www.jsinteriorsboston.com/,5.0
31,Boston,color theory Boston,,terior designer · Washington St,Interior Designers,http://www.colortheoryboston.com/,5.0
2,Boston,"Boston Design and Interiors, Inc.",+1 617-780-2628,terior designer · 75 Arlington St #500,Interior Designers,http://www.bostondesignandinteriors.com/,5.0
2,Boston,Joshua Alan Interiors,+1 857-264-0223,terior designer · 3B Dorchester St,Interior Designers,http://joshua-alan.com/,5.0
6,Boston,Assembly Design Studio,+1 617-794-5000,terior designer · 820R E 6th St,Interior Designers,https://assemblydesignstudio.com/,5.0
20,Boston,LS Home Staging & Interiors,+1 857-317-0643,terior designer · 361 Newbury St 4th floor,Interior Designers,https://lshomestaging.com/,4.9
