address,business_name,profession,phone_number,city,website,rating,total_ratings
"umber · House 1559, St 35/3 Bahria Ave",The Friendly Handyman Co.,Plumbers,0308 2711102,city,,4.6,18
umber ·  · Office no 2 Khawja heights3 Square commercial، near Pso pump,Super Maintenance Services Rawalpindi,Plumbers,0305 9001088,city,https://www.google.com/url?sa=t&source=web&rct=j&url=https://super-maintenance-srevices.business.site/&ved=2ahUKEwjp4qnPsar7AhUfgf0HHeGcDBwQFnoECDoQAQ&usg=AOvVaw0B3Z9e4uV4ubZb4Nyxcoz_,4.4,69
"umber · Laal khan plaza, oppo Lignum tower, main, 2 G.T. Rd",A-R Plumbers,Plumbers,0304 5400354,city,,5.0,5
umber · H46W+H5Q,A to Z Plumbing Services,Plumbers,0311 6133909,city,,4.6,36
"nstruction and maintenance office · Plaza NC, 6/10-A North Commercial Main Block",HaziiiR Maintenance & Repair,Plumbers,0301 4294447,city,https://haziiir.com/,4.7,16
"umber · Behrai Town, 7 imarat",Munir maintenance services,Plumbers,0321 5393783,city,,5.0,14
"umber · Al Aziz arcade, 2nd floor, Office# 5",QUICK SERVICES Pvt Ltd,Plumbers,0333 7497222,city,https://quickservices.pk/,3.9,57
"umbing supply store · Shop 4, Sarwar Plaza, City-Sadar Road",Zahid & Company,Plumbers,(051) 8489811,city,http://zahidco.com/,4.1,57
umber · J427+G77,M.Shahzad and sons,Plumbers,0345 5127455,city,,5.0,2
"umber ·  · Laal Khan Plaza, Oppo Lignum Tower, Near Gate 2, Main N-5",Master Pipe & Fittings,Plumbers,0312 6938288,city,,5.0,5
"s shop · Shop# 56, Ismail Jee Market, City-Sadar Road",Siddique Trading Corporation,Plumbers,,city,http://www.thesiddique.com/,5.0,2
umber,Islamabad plumber and electricians,Plumbers,0301 5374005,city,http://maintainfix.com/,4.8,264
umber · Shop # 1195 Nashtar St,Babu Sanitary Works,Plumbers,0332 1545308,city,,5.0,1
umber ·  · 130,Shahji Electrical & Plumber Services For Home,Plumbers,0348 0140672,city,https://www.facebook.com/shmisb,5.0,116
"umber ·  · Mehran Experts Plaza , Shop No 11 , Bela road, Markaz",Mehran Experts,Plumbers,0300 0888121,city,http://www.mehranexperts.com/,4.9,187
"umber · mustaqeem, Khatak senatory store dhoke, road",Nawaz plumbing work,Plumbers,0343 2392400,city,,4.8,49
nstruction company · 189 Street 1,Bahadar Khan plumbing contractor,Plumbers,0312 0303213,city,,4.6,7
umber · Mirza Corporation Main Kalma Chock,PLUMBER ONLINE,Plumbers,,city,,4.2,10
"umber · Town, Street 17, 1 Phase","Solar, Electrician, Plumbing & AC Solutions by FAIRTECH",Plumbers,0300 7645667,city,https://fair-tech.blogspot.com/,5.0,31
nitation service ·  · Mirza Chowk,Plumber in Islamabad,Plumbers,0305 8693417,city,,5.0,51
"umber ·  · shop #03, Lower ground, Pearl Areena plaza, MR 9",Hammad Electric & cool point pvt ltd / Ac installation / Gizer repair/ Electrician,Plumbers,+92 319 6805306,city,,4.9,64
umber,Ali Electric & Plumbing Services,Plumbers,+92 331 5414092,city,https://capapkcutmod.pro/,,
"umber · Ghazi Colony, H#9C, Tipu Rd",Plumbers castel hill,Plumbers,,city,,,
"umber · Block 65. Shop 5, I&T Centre",MODERN GAS CORPORATION,Plumbers,+92 300 5326335,city,,,
"umber · P565+59X, pakistan bani gala jinnah rd",Master sanitary store bani gala,Plumbers,+92 302 5024207,city,,4.5,27
nstruction company · 189 Street 1,Bahadar Khan plumbing contractor,Plumbers,+92 312 0303213,city,,4.6,7
"umber · Aabpara Market, Khayaban-e-Suhrwardy, G-6-1, G-6",Plumber Point,Plumbers,,city,,,
"umbing supply store · Shop 4, Sarwar Plaza, City-Sadar Road",Zahid & Company,Plumbers,+92 51 8489811,city,http://zahidco.com/,4.1,57
umber · 450 7th Ave Ste B,RR Plumbing Roto-Rooter,Plumbers,+1 212-687-1215,New York,https://www.rotorooter.com/manhattan/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=website,4.8,"1,302"
umber,Aladdin Plumbing Corp.,Plumbers,+1 718-783-4621,New York,https://www.aladdinplumbingcorp.com/,4.9,560
umber · 750 Lexington Ave 9th floor,Rite Plumbing & Heating Inc,Plumbers,+1 347-502-6441,New York,http://www.riteplumbingnyc.com/,4.5,57
umber · 103 Charles St,Hub Plumbing & Heating,Plumbers,+1 917-634-8888,New York,https://www.hubplumbingnyc.com/,4.6,49
