business_name,rating,total_ratings,address,phone_number,website,google_map
California Plumbing,4.9,(746),Plumber,+1 619-787-3443,https://www.californiaplumbingsd.com/,https://www.google.com/maps/place/California+Plumbing/data=!4m7!3m6!1s0x80d94f8e3256ff05:0x1d0c310e5b17c892!8m2!3d32.8245525!4d-117.1026274!16s%2Fg%2F11dxm8v8xd!19sChIJBf9WMo5P2YARksgXWw4xDB0?authuser=0&hl=en&rclk=1
Aim Plumbing California,4.9,(53),Plumber,+1 619-788-7141,https://www.aimplumbingcalifornia.com/,https://www.google.com/maps/place/Aim+Plumbing+California/data=!4m7!3m6!1s0x80d954feeddba5a7:0x47db67fc24e41581!8m2!3d33.763888!4d-117.174015!16s%2Fg%2F11dxlg4jnx!19sChIJp6Xb7f5U2YARgRXkJPxn20c?authuser=0&hl=en&rclk=1
Mr. Rooter Plumbing of South and Central Valley,4.9,(158),Plumber,+1 559-201-8772,https://www.mrrooter.com/south-and-central-valley/?cid=LSTL_MRR000199&utm_source=gmb&utm_campaign=local&utm_medium=organic,https://www.google.com/maps/place/Mr.+Rooter+Plumbing+of+South+and+Central+Valley/data=!4m7!3m6!1s0x80945fdf9612dd59:0xeeb57599b428f76f!8m2!3d36.6929566!4d-119.7879357!16s%2Fg%2F11clytq7yq!19sChIJWd0Slt9flIARb_cotJl1te4?authuser=0&hl=en&rclk=1
"LA Plumbing Company | Plumber in Torrance Redondo Beach, CA",4.9,(87),Plumber,+1 424-677-2359,http://losangelescaplumbing.com/,"https://www.google.com/maps/place/LA+Plumbing+Company+%7C+Plumber+in+Torrance+Redondo+Beach,+CA/data=!4m7!3m6!1s0x80dd4b26e5591dff:0x62e4f9812bb35744!8m2!3d33.840612!4d-118.3240397!16s%2Fg%2F11h034kprm!19sChIJ_x1Z5SZL3YARRFezK4H55GI?authuser=0&hl=en&rclk=1"
Sashaluna LLC dba Mr Rooter Plumbing of Northern California,4.9,(106),Plumber,+1 530-342-9000,http://mrrooter.com/north-california,https://www.google.com/maps/place/Sashaluna+LLC+dba+Mr+Rooter+Plumbing+of+Northern+California/data=!4m7!3m6!1s0x8083262535183e47:0x2a221393e42a2bfd!8m2!3d39.71469!4d-121.822039!16s%2Fg%2F1td00q33!19sChIJRz4YNSUmg4AR_Ssq5JMTIio?authuser=0&hl=en&rclk=1
"Cali-Rooter & Plumbing, Inc.",4.9,(84),Plumber,+1 818-331-5842,http://www.calirooters.com/,"https://www.google.com/maps/place/Cali-Rooter+%26+Plumbing,+Inc./data=!4m7!3m6!1s0x80c2c74d521d362b:0x8b34f99db48e8d21!8m2!3d34.0911789!4d-118.286405!16s%2Fg%2F11c717d92c!19sChIJKzYdUk3HwoARIY2OtJ35NIs?authuser=0&hl=en&rclk=1"
Rooter Hero Plumbing & Air of Los Angeles,4.8,"(1,050)",Plumber,+1 310-773-0660,https://rooterhero.com/plumber-los-angeles-ca-plumbing-repair-service,https://www.google.com/maps/place/Rooter+Hero+Plumbing+%26+Air+of+Los+Angeles/data=!4m7!3m6!1s0x80dd34dcb54b2d7d:0xa443531eb0e0e57!8m2!3d33.9008643!4d-118.3094446!16s%2Fg%2F12mkw9zqv!19sChIJfS1Ltdw03YARVw4O6zE1RAo?authuser=0&hl=en&rclk=1
"Pro Plumbers Inc Corona, CA",4.8,(111),Plumber,+1 951-298-9356,https://www.proplumbersinc.com/service-area/corona-ca,"https://www.google.com/maps/place/Pro+Plumbers+Inc+Corona,+CA/data=!4m7!3m6!1s0x80dcc7ef7b9c7745:0x545ba29426a1a34c!8m2!3d33.8831123!4d-117.6008022!16s%2Fg%2F11r3vsg257!19sChIJRXece-_H3IARTKOhJpSiW1Q?authuser=0&hl=en&rclk=1"
Pacific Plumbing of Southern California,4.5,(23),Plumber,+1 714-699-9936,https://www.pacificplumbingsocal.com/,https://www.google.com/maps/place/Pacific+Plumbing+of+Southern+California/data=!4m7!3m6!1s0x80dcdd4fffffffff:0x9a754f300286f8c5!8m2!3d33.7558971!4d-117.8613782!16s%2Fg%2F1263jnjhf!19sChIJ_____0_d3IARxfiGAjBPdZo?authuser=0&hl=en&rclk=1
New Generation Plumbing,4.8,(118),Plumber,+1 323-274-4863,http://newgenerationplumbingcontractor.com/,https://www.google.com/maps/place/New+Generation+Plumbing/data=!4m7!3m6!1s0x80c2c41c7103026d:0xf5d7d7cc2049d827!8m2!3d34.106057!4d-118.20054!16s%2Fg%2F11g9q4qz7l!19sChIJbQIDcRzEwoARJ9hJIMzX1_U?authuser=0&hl=en&rclk=1
John's Plumbing & Drain Services,4.9,(211),Plumber,+1 323-422-7485,https://johnsplumber.com/,https://www.google.com/maps/place/John%27s+Plumbing+%26+Drain+Services/data=!4m7!3m6!1s0x80c2c0dd24b41faf:0xca6167c38b9cd6e9!8m2!3d34.122568!4d-118.2633217!16s%2Fg%2F11c6_vn6g1!19sChIJrx-0JN3AwoAR6daci8NnYco?authuser=0&hl=en&rclk=1
PDS Plumbing and Air,4.8,(440),Plumber,+1 559-900-2737,http://pdsplumbingandair.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2251387325531499966,https://www.google.com/maps/place/PDS+Plumbing+and+Air/data=!4m7!3m6!1s0x8094672984611b47:0x6f0beb0bc04dc5c6!8m2!3d36.816796!4d-119.6973616!16s%2Fg%2F11jg9nyskd!19sChIJRxthhClnlIARxsVNwAvrC28?authuser=0&hl=en&rclk=1
Orange Coast Plumbing,4.9,"(1,076)",Plumber,+1 714-831-5119,https://orangecoastplumbing.net/,https://www.google.com/maps/place/Orange+Coast+Plumbing/data=!4m7!3m6!1s0x80dcd86d4691eae3:0x56438290256d7f8c!8m2!3d33.758419!4d-117.9120025!16s%2Fg%2F1tj3lcv2!19sChIJ4-qRRm3Y3IARjH9tJZCCQ1Y?authuser=0&hl=en&rclk=1
Valley Plumbing,4.7,"(1,327)",Plumber,+1 760-493-6727,https://www.valley-plumbing.com/,https://www.google.com/maps/place/Valley+Plumbing/data=!4m7!3m6!1s0x80daf83001051de5:0x5fc1a717a45f8eda!8m2!3d33.7515004!4d-116.288183!16s%2Fg%2F1tjrq82j!19sChIJ5R0FATD42oAR2o5fpBenwV8?authuser=0&hl=en&rclk=1
CA ROOTER AND PLUMBING,4.8,(71),Plumber,+1 626-641-2453,https://www.facebook.com/Carooterandpluming,https://www.google.com/maps/place/CA+ROOTER+AND+PLUMBING/data=!4m7!3m6!1s0x80c329cb32e3ffff:0x344138090de095b0!8m2!3d34.0695611!4d-117.9053067!16s%2Fg%2F11gfnhwqfw!19sChIJ___jMsspw4ARsJXgDQk4QTQ?authuser=0&hl=en&rclk=1
Valencia's Plumbing,4.9,(105),Plumber,+1 323-489-9276,,https://www.google.com/maps/place/Valencia%27s+Plumbing/data=!4m7!3m6!1s0x80c2c984f238c1f3:0xf966c99ab7046ae!8m2!3d33.9584001!4d-118.2445001!16s%2Fg%2F11jnq3hy9_!19sChIJ88E48oTJwoARrkZwq5lslg8?authuser=0&hl=en&rclk=1
Guardian Plumbers,4.9,"(1,513)",Plumber,+1 951-254-7077,https://guardianplumbers.com/locations/temecula/?utm_source=google&utm_medium=organic&utm_campaign=maps,https://www.google.com/maps/place/Guardian+Plumbers/data=!4m7!3m6!1s0x80dc83389762563b:0xe56826f0a1dba6a8!8m2!3d33.5059218!4d-117.1605454!16s%2Fg%2F1tfpk35m!19sChIJO1ZilziD3IARqKbbofAmaOU?authuser=0&hl=en&rclk=1
All Flow Plumbing,4.9,(57),Plumber,+1 559-308-5777,,https://www.google.com/maps/place/All+Flow+Plumbing/data=!4m7!3m6!1s0x80953de8b7f7b84d:0x5ddba32658d29eb4!8m2!3d36.2668756!4d-118.7769775!16s%2Fg%2F11pqchc2t4!19sChIJTbj3t-g9lYARtJ7SWCaj210?authuser=0&hl=en&rclk=1
